Genes	Gene Length	Exon Number	Intron Number	Exon Length Geometric Mean	Intron Length Geometric Mean	Length of Largest Exon	Length of Largest Intron	Total Exon Length	Total Intron Length	Length of Shortest Exon	Length of Shortest Intron	Mean Exon Length	Mean Intron Length	Length First Intron	Length of Largest Exon Excluding the Last	Total Exon Length Excluding the Last	Exon Length Geometric Mean Excluding the Last	Length of Shortest Exon Excluding the Last	Mean Exon Length Excluding the Last	percentage_gene_gc_content	TMDomain	SignalPeptide	TAA	TGA	TAG	Length3UTR	Length5UTR	F0	F1	F2	AUGtoExonJunction	UTR5junctions	ExonJunctiontoStop	UTR3junctions	average_cds_exon_length	First_intron_length	LS_TG	LS_ER	LS_CY	Unbiased	CY+	ER+	TG+
ENSG00000177706	68202.0	10	9	169.18584708249753	2413.3235186048396	1234.0	37438.0	3176.0	65026.0	60.0	241.0	317.6	7225.111111111111	1749.0	1234.0	2134.0	138.24244238561684	60.0	237.11111111111111	60	1	0	0	0	1	792	629	0	3	6	605	0	249	0	111.5	1750	0.41	0.51	0.08	0	0	1	0
ENSG00000261456	2409.0	4	3	203.26985152819864	218.91337455114777	1227.0	500.0	1562.0	847.0	109.0	78.0	390.5	282.3333333333333	269.0	115.0	335.0	111.63895750683959	109.0	111.66666666666667	43.2	0	0	0	0	1	169	58	1	2	0	57	0	1057	0	109	270	NA	NA	NA	NA	NA	NA	NA
ENSG00000125788	3162.0	2	1	180.80099557248016	2728.0	337.0	2728.0	434.0	2728.0	97.0	2728.0	217.0	2728.0	2728.0	97.0	97.0	97.0	97.0	97.0	34.69	1	1	0	1	0	59	39	0	1	0	58	0	277	0	NA	2729	NA	NA	NA	NA	NA	NA	NA
ENSG00000088782	1710.0	2	1	233.66642891095844	1180.0	390.0	1180.0	530.0	1180.0	140.0	1180.0	265.0	1180.0	1180.0	140.0	140.0	140.0	140.0	140.0	39.77	0	1	1	0	0	139	91	0	1	0	49	0	250	0	NA	1181	NA	NA	NA	NA	NA	NA	NA
ENSG00000185982	1859.0	2	1	190.89787845861463	1456.0	266.0	1456.0	403.0	1456.0	137.0	1456.0	201.5	1456.0	1456.0	137.0	137.0	137.0	137.0	137.0	41.31	0	1	1	0	0	33	88	0	1	0	49	0	232	0	NA	1457	NA	NA	NA	NA	NA	NA	NA
ENSG00000125903	2629.0	2	1	232.81108221044803	1931.0	609.0	1931.0	698.0	1931.0	89.0	1931.0	349.0	1931.0	1931.0	89.0	89.0	89.0	89.0	89.0	39.94	0	1	1	0	0	115	31	0	1	0	58	0	493	0	NA	1932	NA	NA	NA	NA	NA	NA	NA
ENSG00000092330	2981.0	9	8	152.56299583868022	132.1927101163089	483.0	363.0	1801.0	1180.0	68.0	87.0	200.11111111111111	147.5	146.0	483.0	1512.0	140.85365759208815	68.0	189.0	53.3	0	0	0	1	0	154	291	5	2	1	192	0	134	0	146	147	0.39	0.25	0.35	1	0	0	0
ENSG00000100109	21234.0	15	14	172.00958522613843	844.1560474408149	1129.0	3135.0	3539.0	17695.0	77.0	128.0	235.93333333333334	1263.9285714285713	218.0	528.0	2410.0	150.3783839644789	77.0	172.14285714285714	44.89	0	0	0	1	0	773	252	6	3	2	209	3	355	0	193.9	219	0.43	0.29	0.28	0	0	0	1
ENSG00000186458	3373.0	2	1	477.7656329205775	1240.0	2020.0	1240.0	2133.0	1240.0	113.0	1240.0	1066.5	1240.0	1240.0	113.0	113.0	113.0	113.0	113.0	42.96	0	1	1	0	0	1790	55	0	1	0	58	0	229	0	NA	1241	NA	NA	NA	NA	NA	NA	NA
ENSG00000110811	11441.0	15	14	138.28932104519416	338.80270067170625	551.0	2935.0	2631.0	8810.0	53.0	84.0	175.4	629.2857142857143	920.0	532.0	2080.0	125.28687481000959	53.0	148.57142857142858	56.25	0	1	0	1	0	386	34	8	4	2	498	0	164	0	118.07692307692308	921	0.43	0.52	0.05	0	0	1	0
ENSG00000127418	15273.0	7	6	281.2030737976077	549.5833093889651	1994.0	9638.0	3411.0	11862.0	81.0	95.0	487.2857142857143	1977.0	515.0	354.0	1417.0	202.8784330330406	81.0	236.16666666666666	66.73	1	1	0	0	1	1551	345	0	5	0	79	1	442	0	247.25	516	0.35	0.52	0.13	0	0	1	0
ENSG00000100104	10782.0	7	6	176.62664646999866	759.6437226986151	3196.0	1965.0	4020.0	6762.0	41.0	101.0	574.2857142857143	1127.0	1923.0	260.0	824.0	109.00952954803492	41.0	137.33333333333334	45.15	0	0	0	1	0	2986	14	3	1	2	209	0	209	0	119.2	1924	0.4	0.25	0.35	1	0	0	0
ENSG00000157796	103282.0	37	36	110.09312005265312	1558.8288258003893	324.0	8864.0	4395.0	98887.0	35.0	81.0	118.78378378378379	2746.8611111111113	3162.0	205.0	4071.0	106.84110696010492	35.0	113.08333333333333	39.28	0	0	0	1	0	337	29	16	7	12	6	0	111	1	114.02941176470588	3163	0.4	0.39	0.21	0	0	1	0
ENSG00000250510	5601.0	5	4	299.1853620656654	647.3419966443911	1298.0	1567.0	2495.0	3106.0	80.0	299.0	499.0	776.5	1567.0	1298.0	1726.0	236.28918363596884	80.0	431.5	61.54	1	0	0	1	0	217	511	2	1	0	867	1	551	0	173	1568	NA	NA	NA	NA	NA	NA	NA
ENSG00000185049	26252.0	11	10	152.94789429486013	649.5431872830088	781.0	17034.0	2198.0	24054.0	70.0	88.0	199.8181818181818	2405.4	17034.0	266.0	1417.0	129.93697413679973	70.0	141.7	48.3	0	0	0	0	1	596	15	4	6	0	210	0	184	0	131.44444444444446	17035	0.34	0.27	0.39	1	0	0	0
ENSG00000101193	10329.0	5	4	289.3319065690437	1095.1443529229384	3737.0	3237.0	4369.0	5960.0	107.0	311.0	873.8	1490.0	3237.0	198.0	632.0	152.62112011678494	107.0	158.0	48.76	0	0	0	0	1	3563	119	2	1	0	118	1	173	0	196.5	3238	0.35	0.26	0.38	1	0	0	0
ENSG00000044012	2411.0	3	2	191.34905060405134	872.2683073458534	286.0	1139.0	604.0	1807.0	131.0	668.0	201.33333333333334	903.5	1139.0	187.0	318.0	156.51517498313063	131.0	159.0	59.98	1	1	0	1	0	224	41	1	1	0	90	0	61	0	186	1140	NA	NA	NA	NA	NA	NA	NA
ENSG00000132465	10968.0	4	3	169.3641594854196	2384.7873883667326	999.0	4800.0	1286.0	9682.0	81.0	671.0	321.5	3227.3333333333335	4211.0	124.0	287.0	93.73609393739711	81.0	95.66666666666667	37.02	0	1	1	0	0	788	18	0	1	2	64	0	210	0	101.5	4212	NA	NA	NA	NA	NA	NA	NA
ENSG00000125872	13515.0	5	4	374.19556448653725	2020.360398468351	1701.0	6098.0	2935.0	10580.0	138.0	1025.0	587.0	2645.0	1025.0	660.0	1234.0	256.26967358193616	138.0	308.5	51.07	1	1	0	0	1	476	236	0	1	2	655	1	1224	0	170.5	1026	NA	NA	NA	NA	NA	NA	NA
ENSG00000196476	19888.0	11	10	125.1809494125533	813.9827750708267	405.0	5477.0	1576.0	18312.0	49.0	80.0	143.27272727272728	1831.2	283.0	160.0	1171.0	111.31317307208414	49.0	117.1	48.38	0	0	0	0	1	344	140	6	2	2	20	0	60	0	111.33333333333333	284	0.28	0.42	0.29	0	0	1	0
ENSG00000101222	3945.0	7	6	142.1385473915886	252.87659830018114	816.0	1403.0	1580.0	2365.0	40.0	101.0	225.71428571428572	394.1666666666667	1403.0	270.0	764.0	106.22224887060109	40.0	127.33333333333333	57.54	0	0	0	1	0	708	161	2	2	2	109	0	107	0	97.8	1404	NA	NA	NA	NA	NA	NA	NA
ENSG00000197273	2056.0	3	2	184.81241272670334	666.0810761461402	281.0	1027.0	597.0	1459.0	108.0	432.0	199.0	729.5	1027.0	208.0	316.0	149.87995196156155	108.0	158.0	57.59	1	1	0	0	1	216	33	1	1	0	75	0	64	0	207	1028	NA	NA	NA	NA	NA	NA	NA
ENSG00000110700	3280.0	6	5	79.750994290082	364.00190981990795	170.0	1544.0	527.0	2753.0	49.0	141.0	87.83333333333333	550.6	141.0	170.0	448.0	79.9020476829627	49.0	89.6	46.06	0	0	1	0	0	45	26	2	1	2	23	0	33	0	98.75	142	0.27	0.23	0.5	0	1	0	0
ENSG00000164061	117073.0	12	11	484.595318280638	1395.762454377548	6654.0	70148.0	15971.0	101102.0	55.0	120.0	1330.9166666666667	9191.09090909091	70148.0	6654.0	12011.0	400.3514432318194	55.0	1091.909090909091	48.82	0	0	0	1	0	4064	126	5	3	1	224	0	40	2	1438.5	70149	NA	NA	NA	NA	NA	NA	NA
ENSG00000132464	18081.0	9	8	134.10922629833436	1038.3742177649551	4810.0	4171.0	5679.0	12402.0	42.0	110.0	631.0	1550.25	476.0	261.0	869.0	85.72803210454309	42.0	108.625	38.31	0	0	0	0	1	1969	281	7	0	0	54	1	2840	0	88	477	NA	NA	NA	NA	NA	NA	NA
ENSG00000185069	9191.0	9	8	171.23750297076253	637.8398508501436	956.0	1745.0	2529.0	6662.0	35.0	97.0	281.0	832.75	1089.0	654.0	1573.0	138.11521075323108	35.0	196.625	49.04	0	0	0	1	0	558	54	5	1	2	600	0	397	0	130.28571428571428	1090	NA	NA	NA	NA	NA	NA	NA
ENSG00000255151	8480.0	5	4	151.42015020003637	745.2036548742626	418.0	6357.0	909.0	7571.0	78.0	257.0	181.8	1892.75	679.0	178.0	491.0	117.47231310167517	78.0	122.75	37.69	0	0	0	0	1	20	20	3	1	1	NA	0	NA	0	180.8	680	NA	NA	NA	NA	NA	NA	NA
ENSG00000187801	13240.0	5	4	242.136761537264	1829.60791830879	1295.0	4981.0	2217.0	11023.0	86.0	272.0	443.4	2755.75	3114.0	613.0	922.0	159.2239779812517	86.0	230.5	41.8	0	0	0	1	0	126	486	1	3	0	127	0	1168	0	102	3115	NA	NA	NA	NA	NA	NA	NA
ENSG00000170340	28617.0	2	1	779.3073847975521	25856.0	2520.0	25856.0	2761.0	25856.0	241.0	25856.0	1380.5	25856.0	25856.0	241.0	241.0	241.0	241.0	241.0	45.39	1	0	1	0	0	1317	250	NA	NA	NA	NA	0	NA	0	NA	25857	0.48	0.49	0.03	0	0	1	0
ENSG00000177685	4068.0	9	8	169.1230329675381	205.64406507141308	854.0	445.0	2166.0	1902.0	72.0	79.0	240.66666666666666	237.75	79.0	854.0	1714.0	149.56700557916977	72.0	214.25	66.16	0	0	0	1	0	277	689	3	1	4	165	0	174	0	121.85714285714286	80	NA	NA	NA	NA	NA	NA	NA
ENSG00000137571	167933.0	10	9	276.7891320307786	8405.385823783783	6281.0	69891.0	8991.0	158942.0	65.0	1684.0	899.1	17660.222222222223	1684.0	1403.0	2710.0	195.6571517994864	65.0	301.1111111111111	40.03	1	0	0	1	0	5823	621	1	4	3	907	1	457	0	167.85714285714286	1685	NA	NA	NA	NA	NA	NA	NA
ENSG00000133661	11366.0	8	7	125.66602245048459	896.6231142711551	489.0	3581.0	1283.0	10083.0	40.0	258.0	160.375	1440.4285714285713	2403.0	202.0	794.0	103.49494933227871	40.0	113.42857142857143	44.59	0	1	0	1	0	112	43	0	6	0	199	1	376	0	109.4	2404	NA	NA	NA	NA	NA	NA	NA
ENSG00000174799	84417.0	26	25	150.3348317449785	2125.0518225429623	2002.0	8681.0	5596.0	78821.0	56.0	73.0	215.23076923076923	3152.84	3026.0	224.0	3594.0	135.54497992125368	56.0	143.76	37.81	0	0	1	0	0	2013	160	13	4	6	113	1	102	1	144.77272727272728	3027	NA	NA	NA	NA	NA	NA	NA
ENSG00000163794	1046.0	2	1	381.5416097885	251.0	509.0	251.0	795.0	251.0	286.0	251.0	397.5	251.0	251.0	286.0	286.0	286.0	286.0	286.0	68.64	0	1	0	1	0	121	299	NA	NA	NA	NA	0	NA	0	NA	252	NA	NA	NA	NA	NA	NA	NA
ENSG00000107140	4772.0	10	9	144.2552338345499	219.63567933320704	1172.0	551.0	2530.0	2242.0	49.0	131.0	253.0	249.11111111111111	145.0	577.0	1358.0	114.29918429174185	49.0	150.88888888888889	59.33	0	0	0	0	1	291	358	6	1	2	219	0	880	0	96.625	146	0.37	0.23	0.4	1	0	0	0
ENSG00000134318	164878.0	33	32	132.10360063219971	1163.1067723484277	3682.0	56259.0	8345.0	156533.0	12.0	89.0	252.87878787878788	4891.65625	56259.0	641.0	4663.0	119.05650235060884	12.0	145.71875	36.75	0	0	1	0	0	3678	500	16	9	7	141	0	3	0	128.74193548387098	56260	NA	NA	NA	NA	NA	NA	NA
ENSG00000177666	6660.0	10	9	155.3700861967227	272.73866593875294	1051.0	1722.0	2416.0	4244.0	45.0	86.0	241.6	471.55555555555554	615.0	332.0	1365.0	125.63742853794842	45.0	151.66666666666666	64.52	1	0	0	1	0	711	190	3	3	2	187	1	339	0	140.14285714285714	616	0.23	0.36	0.41	0	1	0	0
ENSG00000138100	25007.0	9	8	151.96965872708054	637.0767122993283	549.0	15667.0	1930.0	23077.0	23.0	110.0	214.44444444444446	2884.625	15667.0	471.0	1381.0	129.42851137595915	23.0	172.625	47.71	0	0	1	0	0	550	303	4	1	2	168	0	85	1	136.16666666666666	15668	NA	NA	NA	NA	NA	NA	NA
ENSG00000165480	22958.0	9	8	181.2267453775576	1572.68138223003	1556.0	6112.0	2869.0	20089.0	62.0	115.0	318.77777777777777	2511.125	3693.0	412.0	1313.0	138.5156608637243	62.0	164.125	39.77	0	0	0	1	0	1555	75	3	3	2	103	0	0	0	161.14285714285714	3694	0.36	0.31	0.33	1	0	0	0
ENSG00000147874	49764.0	17	16	162.31851084919376	1977.0503681128146	3264.0	6638.0	6323.0	43441.0	49.0	308.0	371.94117647058823	2715.0625	5754.0	1041.0	3059.0	134.55711545612087	49.0	191.1875	39.6	0	0	0	1	0	3202	253	6	4	6	128	0	61	0	177.53333333333333	5755	0.33	0.35	0.32	1	0	0	0
ENSG00000186442	6433.0	9	8	166.99368960097084	454.98351897230907	720.0	1066.0	2319.0	4114.0	35.0	264.0	257.6666666666667	514.25	1066.0	720.0	1645.0	140.26686183007456	35.0	205.625	53.58	0	0	1	0	0	357	75	5	1	2	645	0	316	0	131.14285714285714	1067	NA	NA	NA	NA	NA	NA	NA
ENSG00000106538	3301.0	6	5	106.18554104360491	394.2023364706037	194.0	1018.0	685.0	2616.0	52.0	175.0	114.16666666666667	523.2	948.0	194.0	574.0	105.24800327732754	52.0	114.8	62.31	0	1	1	0	0	121	72	3	0	0	174	1	116	1	99.5	949	NA	NA	NA	NA	NA	NA	NA
ENSG00000173141	2427.0	2	1	361.08170820466665	194.0	2173.0	194.0	2233.0	194.0	60.0	194.0	1116.5	194.0	194.0	60.0	60.0	60.0	60.0	60.0	49.86	0	0	1	0	0	1859	65	NA	NA	NA	NA	0	NA	0	NA	195	0.27	0.32	0.41	1	0	0	0
ENSG00000127399	14802.0	3	2	369.3677539488778	4940.846081391324	1439.0	10707.0	1815.0	12987.0	170.0	2280.0	605.0	6493.5	2280.0	206.0	376.0	187.13631395322503	170.0	188.0	53.95	0	0	0	1	0	515	520	NA	NA	NA	NA	0	NA	0	NA	2281	0.32	0.27	0.41	1	0	0	0
ENSG00000170477	7568.0	9	8	161.2994009875544	487.80124111997986	702.0	1619.0	2141.0	5427.0	35.0	108.0	237.88888888888889	678.375	1619.0	520.0	1439.0	134.21303888308387	35.0	179.875	48.56	0	0	0	0	1	520	58	5	1	2	462	0	181	0	130.28571428571428	1620	NA	NA	NA	NA	NA	NA	NA
ENSG00000066336	23688.0	5	4	217.6177747894087	3254.3227303391973	687.0	15592.0	1374.0	22314.0	97.0	846.0	274.8	5578.5	2579.0	239.0	687.0	163.25961658347356	97.0	171.75	52.6	0	0	0	1	0	367	194	2	2	0	45	0	319	0	148.33333333333334	2580	NA	NA	NA	NA	NA	NA	NA
ENSG00000137101	8432.0	9	8	149.39728643291733	564.668520181689	336.0	2949.0	1531.0	6901.0	72.0	100.0	170.11111111111111	862.625	100.0	336.0	1212.0	135.88193181601395	72.0	151.5	46.81	1	0	0	0	1	341	110	1	5	1	82	0	129	1	143.66666666666666	101	NA	NA	NA	NA	NA	NA	NA
ENSG00000056487	128844.0	13	12	132.81626123111857	2779.9415261016725	2143.0	88054.0	3976.0	124868.0	23.0	333.0	305.84615384615387	10405.666666666666	885.0	510.0	1833.0	105.34251289237366	23.0	152.75	52.73	0	0	0	1	0	1924	456	9	3	0	54	0	218	0	119.27272727272727	886	NA	NA	NA	NA	NA	NA	NA
ENSG00000172361	39303.0	8	7	211.29706879243528	3385.6782350822946	417.0	10993.0	1824.0	37479.0	103.0	504.0	228.0	5354.142857142857	4116.0	304.0	1407.0	191.7414293673805	103.0	201.0	41.18	0	0	0	0	1	188	91	3	1	3	69	0	228	0	206.83333333333334	4117	NA	NA	NA	NA	NA	NA	NA
ENSG00000155561	90837.0	43	42	135.61375365085297	1230.9873514785088	350.0	13132.0	6264.0	84573.0	51.0	99.0	145.67441860465115	2013.642857142857	13132.0	268.0	5914.0	132.5866583140094	51.0	140.8095238095238	38.99	0	0	0	1	0	197	28	21	18	3	28	0	152	0	141.8780487804878	13133	0.31	0.42	0.27	0	0	1	0
ENSG00000173914	12890.0	4	3	379.21725106095926	2468.8648475443993	677.0	7376.0	1806.0	11084.0	124.0	672.0	451.5	3694.6666666666665	672.0	677.0	1225.0	328.9466012133123	124.0	408.3333333333333	43.82	0	0	1	0	0	590	136	0	1	0	412	1	667	1	NA	673	0.43	0.28	0.29	0	0	0	1
ENSG00000182022	85931.0	8	7	300.7913502358915	5024.123210153122	2672.0	46744.0	4809.0	81122.0	130.0	747.0	601.125	11588.857142857143	46744.0	1058.0	2137.0	220.1685004947949	130.0	305.2857142857143	50.24	1	0	0	1	0	2481	642	2	3	1	546	1	190	0	188.8	46745	0.42	0.5	0.08	0	0	1	0
ENSG00000095209	82089.0	6	5	240.49341911691639	9805.423402457536	2765.0	25674.0	3545.0	78544.0	88.0	812.0	590.8333333333334	15708.8	10824.0	232.0	780.0	147.56549161825072	88.0	156.0	37.53	1	0	1	0	0	2549	120	1	2	2	112	0	215	0	136	10825	0.43	0.52	0.06	0	0	1	0
ENSG00000124251	5769.0	5	4	251.52192470994342	661.9652420065155	1455.0	1659.0	2312.0	3457.0	75.0	196.0	462.4	864.25	575.0	514.0	857.0	162.18252637680703	75.0	214.25	45.13	0	0	1	0	0	1350	89	3	0	1	48	0	104	0	239	576	NA	NA	NA	NA	NA	NA	NA
ENSG00000239306	13305.0	3	2	1296.2946717927734	2365.584917097672	3474.0	7156.0	5367.0	7938.0	428.0	782.0	1789.0	3969.0	7156.0	1465.0	1893.0	791.8459446129658	428.0	946.5	49.61	0	0	0	0	1	3266	91	0	1	1	337	0	207	0	1464	7157	0.3	0.3	0.4	1	0	0	0
ENSG00000011009	4395.0	10	9	98.88720756779166	179.04722863343758	858.0	1406.0	1635.0	2760.0	32.0	81.0	163.5	306.6666666666667	1406.0	174.0	777.0	77.78203763093438	32.0	86.33333333333333	62.28	0	0	1	0	0	807	132	4	1	3	78	1	50	0	80	1407	0.28	0.25	0.47	0	1	0	0
ENSG00000173011	14581.0	2	1	1363.7807741715676	10212.0	3891.0	10212.0	4369.0	10212.0	478.0	10212.0	2184.5	10212.0	10212.0	478.0	478.0	478.0	478.0	478.0	56.73	0	0	0	1	0	2898	208	1	0	0	270	0	992	0	NA	10213	0.4	0.26	0.34	1	0	0	0
ENSG00000104611	82526.0	10	9	204.84914716552422	5559.490308088461	1669.0	22345.0	3276.0	79250.0	81.0	1008.0	327.6	8805.555555555555	5520.0	385.0	1607.0	162.25925362976233	81.0	178.55555555555554	42.64	0	0	0	1	0	1576	335	3	3	2	181	1	92	0	154.85714285714286	5521	NA	NA	NA	NA	NA	NA	NA
ENSG00000183513	9199.0	3	2	294.76058330061636	3692.845786111302	1480.0	4115.0	1770.0	7429.0	84.0	3314.0	590.0	3714.5	4115.0	206.0	290.0	131.54466921924276	84.0	145.0	42.89	0	0	0	1	0	1438	107	2	0	0	99	0	41	0	83	4116	0.29	0.32	0.39	1	0	0	0
ENSG00000137558	30496.0	6	5	280.0511001913774	1347.232623591253	5912.0	18458.0	6735.0	23761.0	116.0	121.0	1122.5	4752.2	534.0	313.0	823.0	152.17308834951726	116.0	164.6	34.88	0	1	1	0	0	5776	182	2	0	2	273	1	135	0	121.66666666666667	535	NA	NA	NA	NA	NA	NA	NA
ENSG00000114023	28153.0	5	4	212.6986992572197	3631.5201662287554	2596.0	18460.0	3052.0	25101.0	106.0	1375.0	610.4	6275.25	18460.0	123.0	456.0	113.79675303104759	106.0	114.0	38.78	1	0	0	0	1	2503	84	1	2	1	34	0	92	0	111.66666666666667	18461	0.31	0.44	0.25	0	0	1	0
ENSG00000187815	19054.0	6	5	275.52026216397127	1990.0062430195826	1423.0	7233.0	2796.0	16258.0	92.0	314.0	466.0	3251.6	1141.0	605.0	1373.0	198.40073266221674	92.0	274.6	41	0	0	1	0	0	284	931	1	3	0	127	1	1138	0	104	1142	0.44	0.3	0.26	0	0	0	1
ENSG00000111701	16509.0	5	4	115.41694416994243	2416.8850990262545	398.0	11224.0	894.0	15615.0	28.0	1296.0	178.8	3903.75	11224.0	398.0	597.0	91.12716346616301	28.0	149.25	44.28	0	0	0	1	0	147	36	1	2	1	16	0	149	0	180.66666666666666	11225	NA	NA	NA	NA	NA	NA	NA
ENSG00000204070	6054.0	4	3	254.44852115833655	786.8203660070012	2335.0	1925.0	2728.0	3326.0	68.0	213.0	682.0	1108.6666666666667	213.0	165.0	393.0	121.53581561953733	68.0	131.0	49.54	1	0	0	0	1	2094	163	1	0	1	162	1	240	0	67	214	0.49	0.36	0.15	0	0	0	1
ENSG00000103199	18924.0	6	5	273.44005211752363	1508.87299370958	4820.0	7433.0	5824.0	13100.0	65.0	237.0	970.6666666666666	2620.0	940.0	512.0	1004.0	154.03703346531677	65.0	200.8	54.32	0	0	0	1	0	4137	244	2	2	0	414	1	682	0	114.33333333333333	941	0.43	0.25	0.32	0	0	0	1
ENSG00000126705	69900.0	9	8	188.09945057298714	1137.6393510721693	4929.0	44513.0	6428.0	63472.0	38.0	144.0	714.2222222222222	7934.0	242.0	4929.0	5756.0	160.4223259126985	38.0	719.5	56.39	0	0	0	0	1	715	901	NA	NA	NA	NA	0	NA	1	NA	243	NA	NA	NA	NA	NA	NA	NA
ENSG00000164099	72966.0	13	12	218.59495047356285	3670.3377193196534	2206.0	13904.0	4809.0	68157.0	79.0	587.0	369.9230769230769	5679.75	13904.0	785.0	2603.0	180.29195319226355	79.0	216.91666666666666	36.51	0	1	1	0	0	1898	283	0	6	6	502	0	307	0	164.27272727272728	13905	NA	NA	NA	NA	NA	NA	NA
ENSG00000173933	7766.0	4	3	283.66714938863043	1811.0814017410903	691.0	3326.0	1607.0	6159.0	50.0	947.0	401.75	2053.0	947.0	691.0	1165.0	244.68347295585684	50.0	388.3333333333333	44.81	0	0	1	0	0	450	62	0	1	0	412	1	682	1	NA	948	0.34	0.3	0.36	1	0	0	0
ENSG00000006611	50517.0	27	26	94.13051564849776	956.7897801746677	483.0	10949.0	3241.0	47276.0	25.0	106.0	120.03703703703704	1818.3076923076924	10949.0	483.0	2764.0	88.43480229696675	25.0	106.3076923076923	51.78	0	0	0	0	1	432	109	16	3	7	NA	0	44	0	103.76	10950	NA	NA	NA	NA	NA	NA	NA
ENSG00000100664	10789.0	12	11	173.79752556982467	358.61171016569085	4063.0	1099.0	5710.0	5079.0	24.0	103.0	475.8333333333333	461.72727272727275	128.0	280.0	1647.0	130.498924158269	24.0	149.72727272727272	44.94	0	0	1	0	0	3973	441	7	2	0	72	2	89	0	140.75	129	0.45	0.34	0.21	0	0	0	1
ENSG00000189057	20176.0	4	3	195.41372469952861	2541.112189067032	3234.0	14472.0	3506.0	16670.0	45.0	827.0	876.5	5556.666666666667	1371.0	167.0	272.0	76.68199651444326	45.0	90.66666666666667	38.92	0	0	0	0	1	1110	191	1	0	0	81	2	2123	0	NA	1372	NA	NA	NA	NA	NA	NA	NA
