ensembl_gene_id	ensembl_transcript_id	percentage_gene_gc_content	TMDomain	SignalPeptide	TAA	TGA	TAG	Length3UTR	Length5UTR	F0	F1	F2	AUGtoExonJunction	UTR5junctions	ExonJunctiontoStop	UTR3junctions	average_cds_exon_length	First_intron_length	LS_TG	LS_ER	LS_CY	Unbiased	CY+	ER+	TG+
ENSG00000058799	ENST00000072644	43.43	1	0	1	0	0	546	354	4	3	0	31	2	89	1	132.33333333333334	250	0.47	0.39	0.14	0	0	0	1
ENSG00000117298	ENST00000374893	52.21	1	0	1	0	0	2705	49	12	3	3	51	0	176	0	121.6470588235294	208	0.4	0.54	0.06	0	0	1	0
ENSG00000100147	ENST00000255784	49.16	0	1	0	0	1	476	104	3	2	0	103	1	125	0	114.25	8109	0.42	0.49	0.09	0	0	1	0
ENSG00000172888	ENST00000339296	41.97	0	0	0	1	0	6692	377	1	2	0	24	1	1060	0	116.5	505	0.33	0.36	0.31	1	0	0	0
ENSG00000132405	ENST00000409757	49.5	0	0	0	1	0	2722	143	5	3	4	722	1	65	0	116.63636363636364	13422	0.34	0.28	0.37	1	0	0	0
ENSG00000247315	ENST00000500893	55.56	0	0	1	0	0	1523	17	NA	NA	NA	NA	0	NA	0	NA	NA	0.34	0.25	0.41	1	0	0	0
ENSG00000134243	ENST00000256637	42.26	1	1	0	0	1	4468	26	8	5	6	306	0	14	0	119.83333333333333	27998	0.41	0.56	0.04	0	0	1	0
ENSG00000110171	ENST00000345851	48.68	0	0	0	0	1	415	188	6	2	2	131	1	152	0	215.77777777777777	8059	0.4	0.36	0.23	1	0	0	0
ENSG00000115107	ENST00000393110	51.67	1	0	0	1	0	2314	448	3	1	0	22	1	281	0	396.6666666666667	6732	0.37	0.55	0.07	0	0	1	0
ENSG00000134201	ENST00000256593	48.99	0	0	0	0	1	842	62	5	2	0	36	0	89	0	87.5	270	NA	NA	NA	NA	NA	NA	NA
ENSG00000139055	ENST00000266397	38.33	0	1	0	1	0	696	29	5	1	0	94	0	47	0	135	363	NA	NA	NA	NA	NA	NA	NA
ENSG00000107625	ENST00000373585	40.32	0	0	0	1	0	217	70	10	3	1	87	0	278	0	141.15384615384616	5240	0.42	0.29	0.29	0	0	0	1
ENSG00000185640	ENST00000330553	51.03	0	0	0	0	1	464	51	5	1	2	477	0	205	0	131.14285714285714	2158	NA	NA	NA	NA	NA	NA	NA
ENSG00000139908	ENST00000339917	50.36	0	0	0	1	0	102	228	2	0	1	225	0	182	0	303.5	361	NA	NA	NA	NA	NA	NA	NA
ENSG00000118600	ENST00000261234	38.43	1	0	1	0	0	470	52	0	2	3	169	0	417	0	185.25	890	0.44	0.42	0.14	0	0	1	0
ENSG00000173085	ENST00000647002	39.35	1	0	1	0	0	375	34	3	2	1	253	0	164	0	138.6	5398	0.45	0.32	0.24	0	0	0	1
ENSG00000186009	ENST00000335288	56.35	1	0	0	1	0	570	54	3	3	0	112	0	161	0	119.4	3091	NA	NA	NA	NA	NA	NA	NA
ENSG00000163645	ENST00000295910	39.44	0	0	1	0	0	7	22	5	4	4	403	0	263	0	109.41666666666667	1318	NA	NA	NA	NA	NA	NA	NA
ENSG00000174740	ENST00000312600	41.28	0	0	0	1	0	1858	199	NA	NA	NA	NA	0	NA	0	NA	541	NA	NA	NA	NA	NA	NA	NA
ENSG00000134202	ENST00000361066	47.16	0	0	0	1	0	3134	310	5	2	0	48	1	98	0	87.5	442	0.29	0.34	0.37	1	0	0	0
ENSG00000272391	ENST00000615331	45.74	0	0	0	0	1	2010	893	2	5	4	65	3	97	0	279.1	10676	NA	NA	NA	NA	NA	NA	NA
ENSG00000204272	ENST00000374922	45.07	0	0	0	0	1	2026	111	NA	NA	NA	NA	0	NA	1	NA	2474	0.26	0.26	0.48	0	1	0	0
ENSG00000189233	ENST00000413272	45.08	0	0	1	0	0	1353	208	9	5	3	43	1	145	0	136.625	9319	NA	NA	NA	NA	NA	NA	NA
ENSG00000213920	ENST00000288087	50.75	0	0	1	0	0	81	111	0	2	3	37	0	127	0	90.5	122	0.28	0.25	0.47	0	1	0	0
ENSG00000196693	ENST00000359467	40.2	0	0	0	1	0	3504	141	1	2	0	9	1	2086	0	119.5	1502	NA	NA	NA	NA	NA	NA	NA
ENSG00000100519	ENST00000445930	37.88	0	0	1	0	0	973	20	5	7	1	85	0	118	0	79.5	1005	0.44	0.35	0.21	0	0	0	1
ENSG00000073711	ENST00000264977	39.06	0	0	0	0	1	2728	562	6	2	4	1995	1	123	0	120.27272727272727	35210	NA	NA	NA	NA	NA	NA	NA
ENSG00000184344	ENST00000329913	46.28	0	1	0	0	1	94	47	0	1	0	268	0	826	0	NA	4757	NA	NA	NA	NA	NA	NA	NA
ENSG00000168135	ENST00000303592	56.52	1	0	0	1	0	468	259	NA	NA	NA	NA	0	NA	0	NA	26809	NA	NA	NA	NA	NA	NA	NA
ENSG00000128606	ENST00000339431	39.08	0	1	1	0	0	504	286	0	2	0	772	1	397	0	155	20629	NA	NA	NA	NA	NA	NA	NA
ENSG00000205189	ENST00000455036	38.89	0	0	1	0	0	6737	585	2	3	0	972	0	305	0	333.5	11712	0.33	0.36	0.31	1	0	0	0
ENSG00000125841	ENST00000382285	51.94	1	0	0	1	0	1227	232	1	0	0	189	3	425	0	NA	292	0.35	0.43	0.22	1	0	0	0
ENSG00000104047	ENST00000403028	36.26	0	0	0	0	1	12654	130	2	1	0	264	1	247	0	200.5	3991	0.42	0.35	0.24	1	0	0	0
ENSG00000158528	ENST00000433360	36.45	0	0	1	0	0	6097	325	10	3	5	1395	1	212	0	147.05882352941177	2196	NA	NA	NA	NA	NA	NA	NA
ENSG00000065911	ENST00000394053	43.21	0	0	1	0	0	3323	27	0	6	1	101	0	163	0	130.33333333333334	6963	0.31	0.3	0.39	1	0	0	0
ENSG00000147144	ENST00000603986	55.5	0	0	0	1	0	1196	180	3	3	3	63	1	114	0	238.125	2864	0.38	0.27	0.35	1	0	0	0
ENSG00000145332	ENST00000273963	38.23	0	0	0	1	0	3416	352	3	3	2	216	1	123	0	216.57142857142858	24728	0.34	0.35	0.3	1	0	0	0
ENSG00000278570	ENST00000617575	49.58	0	0	0	0	1	569	190	1	4	2	118	0	132	0	162.66666666666666	622	NA	NA	NA	NA	NA	NA	NA
ENSG00000170423	ENST00000304620	52.5	0	0	0	1	0	1306	64	5	1	2	384	0	259	0	130.28571428571428	426	NA	NA	NA	NA	NA	NA	NA
ENSG00000137478	ENST00000409418	38.88	0	0	0	1	0	2046	441	14	2	3	21	0	83	0	116.66666666666667	1729	0.37	0.28	0.34	1	0	0	0
ENSG00000177990	ENST00000324472	36.31	1	0	0	1	0	1599	100	12	3	6	337	0	150	0	88.45	2198	NA	NA	NA	NA	NA	NA	NA
ENSG00000134186	ENST00000370025	38.13	0	0	0	1	0	2908	282	3	0	2	276	0	858	0	125.5	2835	0.41	0.35	0.24	1	0	0	0
ENSG00000102921	ENST00000262384	42.34	0	0	0	1	0	4178	208	1	1	4	198	0	357	0	426	47331	0.37	0.31	0.31	1	0	0	0
ENSG00000111348	ENST00000228945	41.11	0	0	0	1	0	491	77	1	3	0	181	1	199	0	74	10813	NA	NA	NA	NA	NA	NA	NA
ENSG00000171729	ENST00000376008	48.41	1	0	0	1	0	735	474	0	0	1	344	2	417	0	NA	56536	0.55	0.4	0.06	0	0	0	1
ENSG00000196227	ENST00000360816	42.7	0	0	1	0	0	3585	349	NA	NA	NA	NA	0	NA	0	NA	1663	0.36	0.33	0.31	1	0	0	0
ENSG00000166831	ENST00000300069	52.72	0	0	0	0	1	1117	270	5	1	0	87	0	62	1	95	23595	NA	NA	NA	NA	NA	NA	NA
ENSG00000100372	ENST00000435456	41.77	1	0	0	1	0	1204	98	3	3	2	54	0	147	0	102.14285714285714	20112	0.39	0.31	0.29	0	0	0	1
ENSG00000132825	ENST00000370996	49.71	0	0	0	1	0	2369	374	NA	NA	NA	NA	0	NA	0	NA	NA	0.47	0.28	0.25	0	0	0	1
ENSG00000163421	ENST00000295619	39.37	0	1	1	0	0	1069	96	3	0	0	96	0	104	0	93.5	3365	NA	NA	NA	NA	NA	NA	NA
ENSG00000114631	ENST00000342480	48.63	1	1	0	1	0	322	35	4	3	0	70	0	212	0	254.83333333333334	9956	0.43	0.51	0.06	0	0	1	0
ENSG00000067606	ENST00000378567	56.45	0	0	0	1	0	386	220	7	6	4	71	0	87	0	100.25	4740	0.33	0.25	0.43	1	0	0	0
ENSG00000100196	ENST00000216014	49.55	1	0	0	1	0	911	138	2	2	0	91	0	40	0	170	6199	0.41	0.51	0.08	0	0	1	0
ENSG00000147596	ENST00000276594	47.16	0	0	0	0	1	426	127	3	3	0	700	1	227	0	156.6	1266	NA	NA	NA	NA	NA	NA	NA
ENSG00000168090	ENST00000303904	52.66	0	0	0	1	0	398	22	4	5	0	76	0	140	0	94.875	224	0.26	0.28	0.46	0	1	0	0
ENSG00000169016	ENST00000381525	41.96	0	0	0	1	0	2102	282	2	2	2	108	0	46	0	137.2	8539	NA	NA	NA	NA	NA	NA	NA
ENSG00000183682	ENST00000331593	54.76	0	1	0	1	0	4071	356	2	3	1	334	0	149	0	144	18849	NA	NA	NA	NA	NA	NA	NA
ENSG00000198911	ENST00000361204	48.21	0	0	0	1	0	1645	166	8	8	2	88	0	220	0	182.35294117647058	33473	0.32	0.53	0.15	0	0	1	0
ENSG00000262664	ENST00000572195	58.97	0	0	0	1	0	321	26	0	1	0	184	0	499	0	NA	374	NA	NA	NA	NA	NA	NA	NA
ENSG00000101194	ENST00000370351	61.28	1	0	0	0	1	2085	122	2	5	5	59	0	163	0	97.9090909090909	3876	NA	NA	NA	NA	NA	NA	NA
ENSG00000198796	ENST00000361673	44.38	0	0	1	0	0	576	348	2	5	4	109	1	216	0	617.7	16947	NA	NA	NA	NA	NA	NA	NA
ENSG00000153015	ENST00000381070	35.58	0	0	1	0	0	429	217	7	2	4	42	0	162	0	100.16666666666667	5503	0.27	0.32	0.41	1	0	0	0
ENSG00000189337	ENST00000376030	45.46	0	0	1	0	0	3408	313	8	4	2	226	0	164	0	148	361461	NA	NA	NA	NA	NA	NA	NA
ENSG00000079215	ENST00000265113	40.36	1	0	0	0	1	2065	225	1	2	5	181	1	204	0	176.57142857142858	1594	0.38	0.6	0.02	0	0	1	0
ENSG00000130958	ENST00000253270	44.1	1	0	1	0	0	532	77	5	0	6	158	0	99	0	74.6	15172	NA	NA	NA	NA	NA	NA	NA
ENSG00000123575	ENST00000493442	37.05	0	0	1	0	0	6124	333	4	0	1	197	0	170	0	198.75	8641	0.29	0.36	0.35	1	0	0	0
ENSG00000129204	ENST00000574788	46.59	0	0	1	0	0	2013	2636	15	8	5	72	9	173	0	146.22222222222223	1460	NA	NA	NA	NA	NA	NA	NA
ENSG00000185974	ENST00000335678	60.29	0	0	0	0	1	2373	168	2	3	1	699	0	295	0	138.4	1602	NA	NA	NA	NA	NA	NA	NA
ENSG00000168096	ENST00000304283	49.79	0	0	0	0	1	397	404	5	5	4	170	2	76	1	131.6153846153846	2359	NA	NA	NA	NA	NA	NA	NA
ENSG00000149609	ENST00000375222	59.16	0	0	1	0	0	41	19	1	0	0	126	0	335	0	NA	1061	NA	NA	NA	NA	NA	NA	NA
ENSG00000187569	ENST00000345088	45.96	0	0	1	0	0	482	138	2	1	0	82	0	110	0	142.5	3531	NA	NA	NA	NA	NA	NA	NA
ENSG00000124103	ENST00000371328	48.82	1	1	0	1	0	82	65	1	0	0	249	0	266	0	NA	747	NA	NA	NA	NA	NA	NA	NA
ENSG00000132376	ENST00000421807	53.76	0	0	0	1	0	1246	113	7	0	4	44	0	56	0	123.6	2477	0.39	0.25	0.36	1	0	0	0
ENSG00000204271	ENST00000374919	39.64	0	0	0	0	1	3340	328	NA	NA	NA	NA	0	NA	0	NA	267	NA	NA	NA	NA	NA	NA	NA
ENSG00000204178	ENST00000374343	40.69	1	0	0	1	0	1743	202	2	3	5	80	0	202	0	189.22222222222223	15584	0.5	0.45	0.05	0	0	1	0
ENSG00000184898	ENST00000331426	42.67	0	0	1	0	0	2966	136	2	1	0	3	0	758	0	155	5982	NA	NA	NA	NA	NA	NA	NA
ENSG00000186889	ENST00000335390	39.28	1	0	0	1	0	991	66	2	1	0	100	0	278	0	108	3236	NA	NA	NA	NA	NA	NA	NA
ENSG00000089053	ENST00000261819	44.55	0	0	0	0	1	235	71	8	2	6	207	0	211	0	122.26666666666667	4253	0.31	0.34	0.35	1	0	0	0
ENSG00000005421	ENST00000222381	40.31	0	1	1	0	0	1268	57	3	2	3	74	0	158	0	118.28571428571429	6009	NA	NA	NA	NA	NA	NA	NA
ENSG00000133678	ENST00000372281	42.93	1	0	0	1	0	1634	35	1	0	2	87	0	120	0	81	3055	0.37	0.48	0.15	0	0	1	0
ENSG00000106524	ENST00000306999	38.01	0	0	1	0	0	982	181	4	4	1	67	0	184	0	133.25	9052	0.34	0.39	0.27	0	0	1	0
ENSG00000184735	ENST00000327968	38.21	0	0	0	1	0	1636	98	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000175809	ENST00000323684	41.96	0	0	1	0	0	192	79	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000130948	ENST00000375263	43.26	1	0	0	0	1	154	72	6	3	1	154	0	110	0	73.22222222222223	3489	NA	NA	NA	NA	NA	NA	NA
ENSG00000143627	ENST00000342741	52.36	0	0	0	1	0	1279	43	4	4	2	100	0	106	0	167.66666666666666	1016	NA	NA	NA	NA	NA	NA	NA
ENSG00000167178	ENST00000453268	50.88	1	1	0	1	0	1810	154	NA	NA	NA	NA	0	NA	0	NA	586	NA	NA	NA	NA	NA	NA	NA
ENSG00000166246	ENST00000299320	52.61	0	0	0	0	1	681	213	3	1	3	129	1	282	1	190.83333333333334	1766	NA	NA	NA	NA	NA	NA	NA
